
=== Single numbers ===                                                           |  8wt       |  8bit      |  4bit      |  2bit      |  1eliasD   |  1eliasD2 
[16383, 16383, 16383, 16383]                                                     :    12      :     8      :    10      :    12      :    11      :    10     
[32767, 32767, 32767, 32767]                                                     :    12      :    12      :    10      :    12      :    12      :    11     
[65535, 65535, 65535, 65535]                                                     :    12      :    12      :    12      :    12      :    13      :    12     
[131071, 131071, 131071, 131071]                                                 :    16      :    12      :    12      :    12      :    13      :    13     
[262143, 262143, 262143, 262143]                                                 :    16      :    12      :    12      :    12      :    14      :    13     
[524287, 524287, 524287, 524287]                                                 :    16      :    12      :    14      :    12      :    14      :    14     
[1048575, 1048575, 1048575, 1048575]                                             :    16      :    12      :    14      :    16      :    15      :    14     
[2097151, 2097151, 2097151, 2097151]                                             :    16      :    12      :    14      :    16      :    15      :    15     
[4194303, 4194303, 4194303, 4194303]                                             :    16      :    16      :    16      :    16      :    16      :    15     
[8388607, 8388607, 8388607, 8388607]                                             :    16      :    16      :    16      :    16      :    16      :    16     
[16777215, 16777215, 16777215, 16777215]                                         :    16      :    16      :    16      :    16      :    17      :    16     
[33554431, 33554431, 33554431, 33554431]                                         :    20      :    16      :    18      :    20      :    17      :    17     
[67108863, 67108863, 67108863, 67108863]                                         :    20      :    16      :    18      :    20      :    18      :    17     
[134217727, 134217727, 134217727, 134217727]                                     :    20      :    16      :    18      :    20      :    18      :    18     
[268435455, 268435455, 268435455, 268435455]                                     :    20      :    16      :    20      :    20      :    19      :    18     
[536870911, 536870911, 536870911, 536870911]                                     :    20      :    20      :    20      :    20      :    19      :    19     
[1073741823, 1073741823, 1073741823, 1073741823]                                 :    20      :    20      :    20      :    20      :    20      :    19     
[2147483647, 2147483647, 2147483647, 2147483647]                                 :    20      :    20      :    22      :    20      :    21      :    20     
[4294967295, 4294967295, 4294967295, 4294967295]                                 :    20      :    20      :    22      :    20      :    22      :    21     
[8589934591, 8589934591, 8589934591, 8589934591]                                 :    24      :    20      :    22      :    24      :    22      :    22     
[17179869183, 17179869183, 17179869183, 17179869183]                             :    24      :    20      :    24      :    24      :    23      :    22     
[34359738367, 34359738367, 34359738367, 34359738367]                             :    24      :    20      :    24      :    24      :    23      :    23     
[68719476735, 68719476735, 68719476735, 68719476735]                             :    24      :    24      :    24      :    24      :    24      :    23     
[137438953471, 137438953471, 137438953471, 137438953471]                         :    24      :    24      :    26      :    24      :    24      :    24     
[274877906943, 274877906943, 274877906943, 274877906943]                         :    24      :    24      :    26      :    24      :    25      :    24     
[549755813887, 549755813887, 549755813887, 549755813887]                         :    24      :    24      :    26      :    24      :    25      :    25     
[1099511627775, 1099511627775, 1099511627775, 1099511627775]                     :    24      :    24      :    28      :    24      :    26      :    25     
[2199023255551, 2199023255551, 2199023255551, 2199023255551]                     :    28      :    24      :    28      :    28      :    26      :    26     
[4398046511103, 4398046511103, 4398046511103, 4398046511103]                     :    28      :    24      :    28      :    28      :    27      :    26     
[8796093022207, 8796093022207, 8796093022207, 8796093022207]                     :    28      :    28      :    30      :    28      :    27      :    27     
[17592186044415, 17592186044415, 17592186044415, 17592186044415]                 :    28      :    28      :    30      :    28      :    28      :    27     
[35184372088831, 35184372088831, 35184372088831, 35184372088831]                 :    28      :    28      :    30      :    28      :    28      :    28     
[70368744177663, 70368744177663, 70368744177663, 70368744177663]                 :    28      :    28      :    32      :    28      :    29      :    28     
[140737488355327, 140737488355327, 140737488355327, 140737488355327]             :    28      :    28      :    32      :    28      :    29      :    29     
[281474976710655, 281474976710655, 281474976710655, 281474976710655]             :    28      :    28      :    32      :    28      :    30      :    29     
[562949953421311, 562949953421311, 562949953421311, 562949953421311]             :    32      :    28      :    34      :    32      :    30      :    30     
[1125899906842623, 1125899906842623, 1125899906842623, 1125899906842623]         :    32      :    32      :    34      :    32      :    31      :    30     
[2251799813685247, 2251799813685247, 2251799813685247, 2251799813685247]         :    32      :    32      :    34      :    32      :    31      :    31     
[4503599627370495, 4503599627370495, 4503599627370495, 4503599627370495]         :    32      :    32      :    36      :    32      :    32      :    31     
[9007199254740991, 9007199254740991, 9007199254740991, 9007199254740991]         :    32      :    32      :    36      :    32      :    32      :    32     
[18014398509481983, 18014398509481983, 18014398509481983, 18014398509481983]     :    32      :    32      :    36      :    32      :    33      :    32     
[36028797018963967, 36028797018963967, 36028797018963967, 36028797018963967]     :    32      :    32      :    38      :    32      :    33      :    33     
[72057594037927935, 72057594037927935, 72057594037927935, 72057594037927935]     :    32      :    32      :    38      :    32      :    34      :    33     
[144115188075855871, 144115188075855871, 144115188075855871, 14411518807585...   :    36      :    36      :    38      :    36      :    34      :    34     
[288230376151711743, 288230376151711743, 288230376151711743, 28823037615171...   :    36      :    36      :    40      :    36      :    35      :    34     
[576460752303423487, 576460752303423487, 576460752303423487, 57646075230342...   :    36      :    36      :    40      :    36      :    35      :    35     
[1152921504606846975, 1152921504606846975, 1152921504606846975, 11529215046...   :    36      :    36      :    40      :    36      :    36      :    35     
