
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
1073741824 f8 ee ee ee 6e                           11111000 11101110 11101110 11101110 01101110                      1073741824
2147483648 f8 ee ee ee ee 00                        11111000 11101110 11101110 11101110 11101110 00000000             2147483648
4294967296 f8 ee ee ee ee 02                        11111000 11101110 11101110 11101110 11101110 00000010             4294967296
8589934592 f8 ee ee ee ee 06                        11111000 11101110 11101110 11101110 11101110 00000110             8589934592
17179869184 f8 ee ee ee ee 0e                        11111000 11101110 11101110 11101110 11101110 00001110             17179869184
34359738368 f8 ee ee ee ee 2e                        11111000 11101110 11101110 11101110 11101110 00101110             34359738368
68719476736 f8 ee ee ee ee 6e                        11111000 11101110 11101110 11101110 11101110 01101110             68719476736
137438953472 f8 ee ee ee ee ee 00                     11111000 11101110 11101110 11101110 11101110 11101110 00000000    137438953472
274877906944 f8 ee ee ee ee ee 02                     11111000 11101110 11101110 11101110 11101110 11101110 00000010    274877906944
549755813888 f8 ee ee ee ee ee 06                     11111000 11101110 11101110 11101110 11101110 11101110 00000110    549755813888
1099511627776 f8 ee ee ee ee ee 0e                     11111000 11101110 11101110 11101110 11101110 11101110 00001110    1099511627776
2199023255552 f8 ee ee ee ee ee 2e                     11111000 11101110 11101110 11101110 11101110 11101110 00101110    2199023255552
4398046511104 f8 ee ee ee ee ee 6e                     11111000 11101110 11101110 11101110 11101110 11101110 01101110    4398046511104
8796093022208 f8 ee ee ee ee ee ee 00                  11111000 11101110 11101110 11101110 11101110 11101110 11101110 00000000  8796093022208
17592186044416 f8 ee ee ee ee ee ee 02                  11111000 11101110 11101110 11101110 11101110 11101110 11101110 00000010  17592186044416
35184372088832 f8 ee ee ee ee ee ee 06                  11111000 11101110 11101110 11101110 11101110 11101110 11101110 00000110  35184372088832
70368744177664 f8 ee ee ee ee ee ee 0e                  11111000 11101110 11101110 11101110 11101110 11101110 11101110 00001110  70368744177664
140737488355328 f8 ee ee ee ee ee ee 2e                  11111000 11101110 11101110 11101110 11101110 11101110 11101110 00101110  140737488355328
281474976710656 f8 ee ee ee ee ee ee 6e                  11111000 11101110 11101110 11101110 11101110 11101110 11101110 01101110  281474976710656
562949953421312 f8 ee ee ee ee ee ee ee 00               11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00000000  562949953421312
1125899906842624 f8 ee ee ee ee ee ee ee 02               11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00000010  1125899906842624
2251799813685248 f8 ee ee ee ee ee ee ee 06               11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00000110  2251799813685248
4503599627370496 f8 ee ee ee ee ee ee ee 0e               11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00001110  4503599627370496
9007199254740992 f8 ee ee ee ee ee ee ee 2e               11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00101110  9007199254740992
18014398509481984 f8 ee ee ee ee ee ee ee 6e               11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 01101110  18014398509481984
36028797018963968 f8 ee ee ee ee ee ee ee ee 00            11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00000000  36028797018963968
72057594037927936 f8 ee ee ee ee ee ee ee ee 02            11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00000010  72057594037927936
144115188075855872 f8 ee ee ee ee ee ee ee ee 06            11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00000110  144115188075855872
288230376151711744 f8 ee ee ee ee ee ee ee ee 0e            11111000 11101110 11101110 11101110 11101110 11101110 11101110 11101110 11101110 00001110  288230376151711744
