
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
4294967296 80 80 80 80 10                           10000000 10000000 10000000 10000000 00010000                      4294967296
8589934592 80 80 80 80 20                           10000000 10000000 10000000 10000000 00100000                      8589934592
17179869184 80 80 80 80 40                           10000000 10000000 10000000 10000000 01000000                      17179869184
34359738368 80 80 80 80 80 01                        10000000 10000000 10000000 10000000 10000000 00000001             34359738368
68719476736 80 80 80 80 80 02                        10000000 10000000 10000000 10000000 10000000 00000010             68719476736
137438953472 80 80 80 80 80 04                        10000000 10000000 10000000 10000000 10000000 00000100             137438953472
274877906944 80 80 80 80 80 08                        10000000 10000000 10000000 10000000 10000000 00001000             274877906944
549755813888 80 80 80 80 80 10                        10000000 10000000 10000000 10000000 10000000 00010000             549755813888
1099511627776 80 80 80 80 80 20                        10000000 10000000 10000000 10000000 10000000 00100000             1099511627776
2199023255552 80 80 80 80 80 40                        10000000 10000000 10000000 10000000 10000000 01000000             2199023255552
4398046511104 80 80 80 80 80 80 01                     10000000 10000000 10000000 10000000 10000000 10000000 00000001    4398046511104
8796093022208 80 80 80 80 80 80 02                     10000000 10000000 10000000 10000000 10000000 10000000 00000010    8796093022208
17592186044416 80 80 80 80 80 80 04                     10000000 10000000 10000000 10000000 10000000 10000000 00000100    17592186044416
35184372088832 80 80 80 80 80 80 08                     10000000 10000000 10000000 10000000 10000000 10000000 00001000    35184372088832
70368744177664 80 80 80 80 80 80 10                     10000000 10000000 10000000 10000000 10000000 10000000 00010000    70368744177664
140737488355328 80 80 80 80 80 80 20                     10000000 10000000 10000000 10000000 10000000 10000000 00100000    140737488355328
281474976710656 80 80 80 80 80 80 40                     10000000 10000000 10000000 10000000 10000000 10000000 01000000    281474976710656
562949953421312 80 80 80 80 80 80 80 01                  10000000 10000000 10000000 10000000 10000000 10000000 10000000 00000001  562949953421312
1125899906842624 80 80 80 80 80 80 80 02                  10000000 10000000 10000000 10000000 10000000 10000000 10000000 00000010  1125899906842624
2251799813685248 80 80 80 80 80 80 80 04                  10000000 10000000 10000000 10000000 10000000 10000000 10000000 00000100  2251799813685248
4503599627370496 80 80 80 80 80 80 80 08                  10000000 10000000 10000000 10000000 10000000 10000000 10000000 00001000  4503599627370496
9007199254740992 80 80 80 80 80 80 80 10                  10000000 10000000 10000000 10000000 10000000 10000000 10000000 00010000  9007199254740992
18014398509481984 80 80 80 80 80 80 80 20                  10000000 10000000 10000000 10000000 10000000 10000000 10000000 00100000  18014398509481984
36028797018963968 80 80 80 80 80 80 80 40                  10000000 10000000 10000000 10000000 10000000 10000000 10000000 01000000  36028797018963968
72057594037927936 80 80 80 80 80 80 80 80 01               10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 00000001  72057594037927936
144115188075855872 80 80 80 80 80 80 80 80 02               10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 00000010  144115188075855872
288230376151711744 80 80 80 80 80 80 80 80 04               10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 00000100  288230376151711744
576460752303423488 80 80 80 80 80 80 80 80 08               10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 00001000  576460752303423488
1152921504606846976 80 80 80 80 80 80 80 80 10               10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 00010000  1152921504606846976
2305843009213693952 80 80 80 80 80 80 80 80 20               10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 00100000  2305843009213693952
4611686018427387904 80 80 80 80 80 80 80 80 40               10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 01000000  4611686018427387904
9223372036854775808 80 80 80 80 80 80 80 80 80 01            10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 00000001  9223372036854775808
18446744073709551615 ff ff ff ff ff ff ff ff ff 01            11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111 00000001  18446744073709551615

    Pairs of integers
Array           Decoded         Len      Hex        Bin             
[0, 0]          [0, 0]          2        00 00      00000000 00000000
[55, 10]        [55, 10]        2        37 0a      00110111 00001010
[210, 20]       [210, 20]       3        d2 01 14   11010010 00000001 00010100
[465, 30]       [465, 30]       3        d1 03 1e   11010001 00000011 00011110
[820, 40]       [820, 40]       3        b4 06 28   10110100 00000110 00101000
[1275, 50]      [1275, 50]      3        fb 09 32   11111011 00001001 00110010
[1830, 60]      [1830, 60]      3        a6 0e 3c   10100110 00001110 00111100
[2485, 70]      [2485, 70]      3        b5 13 46   10110101 00010011 01000110
[3240, 80]      [3240, 80]      3        a8 19 50   10101000 00011001 01010000
[4095, 90]      [4095, 90]      3        ff 1f 5a   11111111 00011111 01011010
[5050, 100]     [5050, 100]     3        ba 27 64   10111010 00100111 01100100

    Array of small integers

Array:    [0]       	(1 elements)
Decoded:  [0]
Hex dump: 00	(1 bytes)
Bin dump: 00000000

Array:    [0, 50]   	(2 elements)
Decoded:  [0, 50]
Hex dump: 00 32	(2 bytes)
Bin dump: 00000000 00110010

Array:    [0, 50, 100]	(3 elements)
Decoded:  [0, 50, 100]
Hex dump: 00 32 64	(3 bytes)
Bin dump: 00000000 00110010 01100100

Array:    [0, 50, 100, 150]	(4 elements)
Decoded:  [0, 50, 100, 150]
Hex dump: 00 32 64 96 01	(5 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000001

Array:    [0, 50, 100, 150, 200]	(5 elements)
Decoded:  [0, 50, 100, 150, 200]
Hex dump: 00 32 64 96 01 c8 01	(7 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000001 11001000 00000001

Array:    [0, 50, 100, 150, 200, 250]	(6 elements)
Decoded:  [0, 50, 100, 150, 200, 250]
Hex dump: 00 32 64 96 01 c8 01 fa 01	(9 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000001 11001000 00000001 11111010 00000001

Array:    [0, 50, 100, 150, 200, 250, 300]	(7 elements)
Decoded:  [0, 50, 100, 150, 200, 250, 300]
Hex dump: 00 32 64 96 01 c8 01 fa 01 ac 02	(11 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000001 11001000 00000001 11111010 00000001 10101100 00000010

Array:    [0, 50, 100, 150, 200, 250, 300, 350]	(8 elements)
Decoded:  [0, 50, 100, 150, 200, 250, 300, 350]
Hex dump: 00 32 64 96 01 c8 01 fa 01 ac 02 de 02	(13 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000001 11001000 00000001 11111010 00000001 10101100 00000010 11011110 00000010

Array:    [0, 50, 100, 150, 200, 250, 300, 350, 400]	(9 elements)
Decoded:  [0, 50, 100, 150, 200, 250, 300, 350, 400]
Hex dump: 00 32 64 96 01 c8 01 fa 01 ac 02 de 02 90 03	(15 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000001 11001000 00000001 11111010 00000001 10101100 00000010 11011110 00000010 10010000 00000011

Array:    [0, 50, 100, 150, 200, 250, 300, 350, 400, 450]	(10 elements)
Decoded:  [0, 50, 100, 150, 200, 250, 300, 350, 400, 450]
Hex dump: 00 32 64 96 01 c8 01 fa 01 ac 02 de 02 90 03 c2 03	(17 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000001 11001000 00000001 11111010 00000001 10101100 00000010 11011110 00000010 10010000 00000011 11000010 00000011

    Array of bigger integers

Array:    [0, 50]   	(2 elements)
Decoded:  [0, 50]
Hex dump: 00 32	(2 bytes)
Bin dump: 00000000 00110010

Array:    [0, 50, 200]	(3 elements)
Decoded:  [0, 50, 200]
Hex dump: 00 32 c8 01	(4 bytes)
Bin dump: 00000000 00110010 11001000 00000001

Array:    [0, 50, 200, 450]	(4 elements)
Decoded:  [0, 50, 200, 450]
Hex dump: 00 32 c8 01 c2 03	(6 bytes)
Bin dump: 00000000 00110010 11001000 00000001 11000010 00000011

Array:    [0, 50, 200, 450, 800]	(5 elements)
Decoded:  [0, 50, 200, 450, 800]
Hex dump: 00 32 c8 01 c2 03 a0 06	(8 bytes)
Bin dump: 00000000 00110010 11001000 00000001 11000010 00000011 10100000 00000110

Array:    [0, 50, 200, 450, 800, 1250]	(6 elements)
Decoded:  [0, 50, 200, 450, 800, 1250]
Hex dump: 00 32 c8 01 c2 03 a0 06 e2 09	(10 bytes)
Bin dump: 00000000 00110010 11001000 00000001 11000010 00000011 10100000 00000110 11100010 00001001

Array:    [0, 50, 200, 450, 800, 1250, 1800]	(7 elements)
Decoded:  [0, 50, 200, 450, 800, 1250, 1800]
Hex dump: 00 32 c8 01 c2 03 a0 06 e2 09 88 0e	(12 bytes)
