
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
[3240, 80]      [3240, 80]      4        cc 68 c0 10 11001100 01101000 11000000 00010000
[4095, 90]      [4095, 90]      4        cf bf c0 1a 11001111 10111111 11000000 00011010
[5050, 100]     [5050, 100]     4        d3 7a c0 24 11010011 01111010 11000000 00100100

    Array of small integers

Array:    [0]       	(1 elements)
Decoded:  [0]
Hex dump: 80	(1 bytes)
Bin dump: 10000000

Array:    [0, 50]   	(2 elements)
Decoded:  [0, 50]
Hex dump: 80 b2	(2 bytes)
Bin dump: 10000000 10110010

Array:    [0, 50, 100]	(3 elements)
Decoded:  [0, 50, 100]
Hex dump: 80 b2 c0 24	(4 bytes)
Bin dump: 10000000 10110010 11000000 00100100

Array:    [0, 50, 100, 150]	(4 elements)
Decoded:  [0, 50, 100, 150]
Hex dump: 80 b2 c0 24 c0 56	(6 bytes)
Bin dump: 10000000 10110010 11000000 00100100 11000000 01010110

Array:    [0, 50, 100, 150, 200]	(5 elements)
Decoded:  [0, 50, 100, 150, 200]
Hex dump: 80 b2 c0 24 c0 56 c0 88	(8 bytes)
Bin dump: 10000000 10110010 11000000 00100100 11000000 01010110 11000000 10001000

Array:    [0, 50, 100, 150, 200, 250]	(6 elements)
Decoded:  [0, 50, 100, 150, 200, 250]
Hex dump: 80 b2 c0 24 c0 56 c0 88 c0 ba	(10 bytes)
Bin dump: 10000000 10110010 11000000 00100100 11000000 01010110 11000000 10001000 11000000 10111010

Array:    [0, 50, 100, 150, 200, 250, 300]	(7 elements)
Decoded:  [0, 50, 100, 150, 200, 250, 300]
Hex dump: 80 b2 c0 24 c0 56 c0 88 c0 ba c0 ec	(12 bytes)
Bin dump: 10000000 10110010 11000000 00100100 11000000 01010110 11000000 10001000 11000000 10111010 11000000 11101100

Array:    [0, 50, 100, 150, 200, 250, 300, 350]	(8 elements)
Decoded:  [0, 50, 100, 150, 200, 250, 300, 350]
Hex dump: 80 b2 c0 24 c0 56 c0 88 c0 ba c0 ec c1 1e	(14 bytes)
Bin dump: 10000000 10110010 11000000 00100100 11000000 01010110 11000000 10001000 11000000 10111010 11000000 11101100 11000001 00011110

Array:    [0, 50, 100, 150, 200, 250, 300, 350, 400]	(9 elements)
Decoded:  [0, 50, 100, 150, 200, 250, 300, 350, 400]
Hex dump: 80 b2 c0 24 c0 56 c0 88 c0 ba c0 ec c1 1e c1 50	(16 bytes)
Bin dump: 10000000 10110010 11000000 00100100 11000000 01010110 11000000 10001000 11000000 10111010 11000000 11101100 11000001 00011110 11000001 01010000

Array:    [0, 50, 100, 150, 200, 250, 300, 350, 400, 450]	(10 elements)
Decoded:  [0, 50, 100, 150, 200, 250, 300, 350, 400, 450]
Hex dump: 80 b2 c0 24 c0 56 c0 88 c0 ba c0 ec c1 1e c1 50 c1 82	(18 bytes)
Bin dump: 10000000 10110010 11000000 00100100 11000000 01010110 11000000 10001000 11000000 10111010 11000000 11101100 11000001 00011110 11000001 01010000 11000001 10000010

    Array of bigger integers

Array:    [0, 50]   	(2 elements)
Decoded:  [0, 50]
Hex dump: 80 b2	(2 bytes)
Bin dump: 10000000 10110010

Array:    [0, 50, 200]	(3 elements)
Decoded:  [0, 50, 200]
Hex dump: 80 b2 c0 88	(4 bytes)
Bin dump: 10000000 10110010 11000000 10001000

Array:    [0, 50, 200, 450]	(4 elements)
Decoded:  [0, 50, 200, 450]
Hex dump: 80 b2 c0 88 c1 82	(6 bytes)
