
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
[210, 20]       [210, 20]       3        d2 00 14   11010010 00000000 00010100
[465, 30]       [465, 30]       3        d1 02 1e   11010001 00000010 00011110
[820, 40]       [820, 40]       3        b4 05 28   10110100 00000101 00101000
[1275, 50]      [1275, 50]      3        fb 08 32   11111011 00001000 00110010
[1830, 60]      [1830, 60]      3        a6 0d 3c   10100110 00001101 00111100
[2485, 70]      [2485, 70]      3        b5 12 46   10110101 00010010 01000110
[3240, 80]      [3240, 80]      3        a8 18 50   10101000 00011000 01010000
[4095, 90]      [4095, 90]      3        ff 1e 5a   11111111 00011110 01011010
[5050, 100]     [5050, 100]     3        ba 26 64   10111010 00100110 01100100

    Array of small integers

Array:    [0]       	(1 elements)
Decoded:  [0]
Hex dump: 00	(1 bytes)
Bin dump: 00000000

Array:    [0, 50]   	(2 elements)
Decoded:  [0, 50]
Hex dump: 00 32	(2 bytes)
Bin dump: 00000000 00110010

Array:    [0, 50, 100]	(3 elements)
Decoded:  [0, 50, 100]
Hex dump: 00 32 64	(3 bytes)
Bin dump: 00000000 00110010 01100100

Array:    [0, 50, 100, 150]	(4 elements)
Decoded:  [0, 50, 100, 150]
Hex dump: 00 32 64 96 00	(5 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000000

Array:    [0, 50, 100, 150, 200]	(5 elements)
Decoded:  [0, 50, 100, 150, 200]
Hex dump: 00 32 64 96 00 c8 00	(7 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000000 11001000 00000000

Array:    [0, 50, 100, 150, 200, 250]	(6 elements)
Decoded:  [0, 50, 100, 150, 200, 250]
Hex dump: 00 32 64 96 00 c8 00 fa 00	(9 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000000 11001000 00000000 11111010 00000000

Array:    [0, 50, 100, 150, 200, 250, 300]	(7 elements)
Decoded:  [0, 50, 100, 150, 200, 250, 300]
Hex dump: 00 32 64 96 00 c8 00 fa 00 ac 01	(11 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000000 11001000 00000000 11111010 00000000 10101100 00000001

Array:    [0, 50, 100, 150, 200, 250, 300, 350]	(8 elements)
Decoded:  [0, 50, 100, 150, 200, 250, 300, 350]
Hex dump: 00 32 64 96 00 c8 00 fa 00 ac 01 de 01	(13 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000000 11001000 00000000 11111010 00000000 10101100 00000001 11011110 00000001

Array:    [0, 50, 100, 150, 200, 250, 300, 350, 400]	(9 elements)
Decoded:  [0, 50, 100, 150, 200, 250, 300, 350, 400]
Hex dump: 00 32 64 96 00 c8 00 fa 00 ac 01 de 01 90 02	(15 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000000 11001000 00000000 11111010 00000000 10101100 00000001 11011110 00000001 10010000 00000010

Array:    [0, 50, 100, 150, 200, 250, 300, 350, 400, 450]	(10 elements)
Decoded:  [0, 50, 100, 150, 200, 250, 300, 350, 400, 450]
Hex dump: 00 32 64 96 00 c8 00 fa 00 ac 01 de 01 90 02 c2 02	(17 bytes)
Bin dump: 00000000 00110010 01100100 10010110 00000000 11001000 00000000 11111010 00000000 10101100 00000001 11011110 00000001 10010000 00000010 11000010 00000010

    Array of bigger integers

Array:    [0, 50]   	(2 elements)
Decoded:  [0, 50]
Hex dump: 00 32	(2 bytes)
Bin dump: 00000000 00110010

Array:    [0, 50, 200]	(3 elements)
Decoded:  [0, 50, 200]
Hex dump: 00 32 c8 00	(4 bytes)
Bin dump: 00000000 00110010 11001000 00000000

Array:    [0, 50, 200, 450]	(4 elements)
Decoded:  [0, 50, 200, 450]
Hex dump: 00 32 c8 00 c2 02	(6 bytes)
Bin dump: 00000000 00110010 11001000 00000000 11000010 00000010

Array:    [0, 50, 200, 450, 800]	(5 elements)
Decoded:  [0, 50, 200, 450, 800]
Hex dump: 00 32 c8 00 c2 02 a0 05	(8 bytes)
Bin dump: 00000000 00110010 11001000 00000000 11000010 00000010 10100000 00000101

Array:    [0, 50, 200, 450, 800, 1250]	(6 elements)
Decoded:  [0, 50, 200, 450, 800, 1250]
Hex dump: 00 32 c8 00 c2 02 a0 05 e2 08	(10 bytes)
Bin dump: 00000000 00110010 11001000 00000000 11000010 00000010 10100000 00000101 11100010 00001000

Array:    [0, 50, 200, 450, 800, 1250, 1800]	(7 elements)
Decoded:  [0, 50, 200, 450, 800, 1250, 1800]
Hex dump: 00 32 c8 00 c2 02 a0 05 e2 08 88 0d	(12 bytes)
