
    Unsigned integers (first 300)
Number     Hex                  Bin                             Decoded
79         b4 02                10110100 00000010    79
80         c4 02                11000100 00000010    80
81         d4 02                11010100 00000010    81
82         e4 02                11100100 00000010    82
83         f4 02                11110100 00000010    83
84         04 03                00000100 00000011    84
85         14 03                00010100 00000011    85
86         24 03                00100100 00000011    86
87         34 03                00110100 00000011    87
88         44 03                01000100 00000011    88
89         54 03                01010100 00000011    89
90         64 03                01100100 00000011    90
91         74 03                01110100 00000011    91
92         84 03                10000100 00000011    92
93         94 03                10010100 00000011    93
94         a4 03                10100100 00000011    94
95         b4 03                10110100 00000011    95
96         c4 03                11000100 00000011    96
97         d4 03                11010100 00000011    97
98         e4 03                11100100 00000011    98
99         f4 03                11110100 00000011    99
100        04 04                00000100 00000100    100

    Pairs of integers
Array              Decoded            Len    Hex                  Bin
[0, 0]             [0, 0]             1      11                   00010001
[1, 1]             [1, 1]             1      33                   00110011
[3, 2]             [3, 2]             1      57                   01010111
[6, 3]             [6, 3]             1      7d                   01111101
[10, 4]            [10, 4]            2      0a 09                00001010 00001001
[15, 5]            [15, 5]            2      1e 0b                00011110 00001011
[21, 6]            [21, 6]            2      36 0d                00110110 00001101
[28, 7]            [28, 7]            2      52 0f                01010010 00001111
[36, 8]            [36, 8]            2      72 02                01110010 00000010
[45, 9]            [45, 9]            2      96 06                10010110 00000110
[55, 10]           [55, 10]           2      be 0a                10111110 00001010

    Arrays of consecutive integers
Array: [0] -> bytes=1 hex=01
Array: [0, 1] -> bytes=1 hex=31
Array: [0, 1, 2] -> bytes=2 hex=31 05
Array: [0, 1, 2, 3] -> bytes=2 hex=31 75
Array: [0, 1, 2, 3, 4] -> bytes=3 hex=31 75 09
Array: [0, 1, 2, 3, 4, 5] -> bytes=3 hex=31 75 b9
Array: [0, 1, 2, 3, 4, 5, 6] -> bytes=4 hex=31 75 b9 0d
Array: [0, 1, 2, 3, 4, 5, 6, 7] -> bytes=4 hex=31 75 b9 fd
Array: [0, 1, 2, 3, 4, 5, 6, 7, 8] -> bytes=5 hex=31 75 b9 fd 02
Array: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] -> bytes=6 hex=31 75 b9 fd 02 06

    Arrays of squared integers
Array: [0, 1] -> bytes=1 hex=31
Array: [0, 1, 4] -> bytes=2 hex=31 09
Array: [0, 1, 4, 9] -> bytes=3 hex=31 69 00
Array: [0, 1, 4, 9, 16] -> bytes=4 hex=31 69 20 02
Array: [0, 1, 4, 9, 16, 25] -> bytes=5 hex=31 69 20 62 04
Array: [0, 1, 4, 9, 16, 25, 36] -> bytes=6 hex=31 69 20 62 24 07
Array: [0, 1, 4, 9, 16, 25, 36, 49] -> bytes=7 hex=31 69 20 62 24 67 0a
Array: [0, 1, 4, 9, 16, 25, 36, 49, 64] -> bytes=8 hex=31 69 20 62 24 67 2a 0e
Array: [0, 1, 4, 9, 16, 25, 36, 49, 64, 81] -> bytes=9 hex=31 69 20 62 24 67 2a ce 04

Precomputed constants:
_VALUE_BITS: (3, 6, 9, 12, 19, 26)
_CAPACITY: (8, 64, 512, 4096, 524288, 67108864)
_SHIFT: (0, 8, 72, 584, 4680, 528968)
_TOP: (7, 71, 583, 4679, 528967, 67637831)
_MAX_SMALL: 67637831
